Record Date,Work Status,Comment
2015-01-01,Holiday,Happy New Year
2015-01-26,Holiday,Republic day
2015-03-06,Holiday,Holi / Dhuli Vandan
2015-04-03,Holiday,Good Friday
2015-05-01,Holiday,Maharashtra Day / Labour Day
2015-09-25,Holiday,Id-ul-Zuha(Bakrid)
2015-10-02,Holiday,Gandhi Jayanti
2015-10-22,Holiday,Dassera / Vijaya Dashmi / Ayudh Pooja
2015-12-11,Holiday,Christmas
