Date,3264,3395,21031,54660,55502,55711,55863,56035,60877,60952,61454,61904,61949,62182,62487,62509,72062,72187,72891,73055,73343,73858,73957,74565,74839,75026,75027,75028,75802,76749,76750,76751,76932,77258,77584,78048,78105,78282,78468
2015-01-25,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA,NA,NA
2015-01-26,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,ATT,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,NA,NA,NA,NA
2015-01-27,P,LOP,P,P,P,P,P,P,P,P,ATT,P,P,CL,P,P,P,P,CL,P,P,P,P,P,P,CL,P,P,P,CL,P,P,P,P,P,NA,NA,NA,NA
2015-01-28,P,LOP,P,P,P,P,P,P,P,P,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-29,P,LOP,P,P,P,P,P,P,P,P,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-30,P,P,P,P,P,P,P,P,P,P,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-31,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA,NA,NA
2015-02-02,CL,P,P,P,P,P,P,P,P,P,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-02-03,P,P,P,P,CL,P,P,P,P,P,ATT,P,CL,P,P,P,P,CL,CL,P,CL,P,P,P,P,P,CL,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-02-04,P,P,P,P,CL,P,P,P,P,P,ATT,P,CL,P,P,P,P,CL,P,P,P,P,P,P,P,P,CL,P,P,P,P,P,P,P,P,NA,NA,NA,NA
