Date,3264,3395,21031,54660,55502,55711,55863,56035,60877,60952,61454,61904,61949,62182,62487,62509,72062,72187,72891,73055,73343,73858,73957,74565,74839,75026,75027,75028,75802,76749,76750,76751,76932,77258,77584,78048,78105,78282,78468
2015-04-19,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,ATT,ATT,ATT,WOFF,ATT,ATT,ATT,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF
2015-04-20,PL,UL,P,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,PL,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-21,PL,P,P,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,PL,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-22,PL,P,P,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-23,P,P,P,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,PL,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-24,P,P,P,ATT,P,CL,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-25,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,ATT,ATT,ATT,WOFF,ATT,ATT,ATT,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF
2015-04-26,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,ATT,ATT,ATT,WOFF,ATT,ATT,ATT,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF
2015-04-27,P,P,P,ATT,P,P,ATT,ATT,ATT,UL,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,PL,P,P,UL,P,P,P,P,P,P,UL,P,P,P,P,P,P,P
2015-04-28,P,P,P,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-29,UL,P,P,ATT,P,PL,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,UL
2015-04-30,P,P,P,ATT,P,PL,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,UL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,UL,P,P,P,P
2015-05-04,P,P,P,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,UL,P,P,P,P,P,P,P,P,P,UL,P,P,UL,P,P,P,P,UL,P,P,P,UL
