,Closed,Outside TAT,Raised,Tat Met %,Total Pending,Within TAT
2015-06-08,0.0,-55.0,0.0,1.2894736842105263,190.0,245.0
2015-06-09,0.0,-55.0,0.0,1.2894736842105263,190.0,245.0
2015-06-10,0.0,-55.0,0.0,1.2894736842105263,190.0,245.0
