,Closed,Outside TAT,Raised,Tat Met %,Total Pending,Within TAT
2015-06-08,6.0,38.0,9.0,0.07317073170731707,41.0,3.0
2015-06-09,0.0,44.0,9.0,0.12,50.0,6.0
2015-06-10,0.0,29.0,0.0,0.42,50.0,21.0
