,Closed,Outside TAT,Raised,Tat Met %,Total Pending,Within TAT
2015-06-01,0.0,3.0,3.0,0.0,3.0,0.0
2015-06-02,0.0,6.0,3.0,0.0,6.0,0.0
2015-06-03,0.0,21.0,15.0,0.0,21.0,0.0
2015-06-04,0.0,31.0,12.0,0.0,31.0,0.0
2015-06-05,0.0,34.0,5.0,0.0,34.0,0.0
