,Closed,Outside TAT,Raised,Tat Met %,Total Pending,Within TAT
2015-06-01,14.0,-223.0,14.0,2.3597560975609757,164.0,387.0
2015-06-02,4.0,-223.0,7.0,2.3597560975609757,164.0,387.0
2015-06-03,38.0,-222.0,11.0,2.3454545454545452,165.0,387.0
2015-06-04,0.0,-220.0,4.0,2.317365269461078,167.0,387.0
2015-06-05,0.0,-218.0,13.0,2.289940828402367,169.0,387.0
