,Closed,Outside TAT,Raised,Tat Met %,Total Pending,Within TAT
2015-06-08,30.0,-216.0,4.0,2.263157894736842,171.0,387.0
2015-06-09,0.0,-212.0,4.0,2.2114285714285713,175.0,387.0
2015-06-10,0.0,-211.0,1.0,2.1988636363636362,176.0,387.0
